iter	Passed	Remaining
0	42	21345
1	73	18388
2	115	19175
3	144	17929
4	195	19392
5	246	20296
6	278	19641
7	315	19419
8	355	19420
9	387	19005
10	432	19206
11	463	18834
12	494	18509
13	523	18155
14	559	18075
15	591	17905
16	622	17684
17	657	17614
18	695	17596
19	720	17303
20	752	17154
21	783	17015
22	823	17083
23	855	16958
24	888	16877
25	924	16849
26	973	17058
27	1010	17034
28	1053	17106
29	1085	17011
30	1123	16991
31	1156	16909
32	1195	16917
33	1250	17143
34	1284	17071
35	1315	16951
36	1350	16893
37	1383	16817
38	1414	16716
39	1450	16680
40	1481	16587
41	1507	16442
42	1548	16461
43	1620	16791
44	1663	16820
45	1693	16716
46	1725	16630
47	1749	16477
48	1781	16395
49	1824	16422
50	1857	16355
51	1878	16186
52	1918	16180
53	1946	16075
54	1989	16098
55	2026	16064
56	2059	16008
57	2087	15909
58	2119	15843
59	2144	15725
60	2169	15614
61	2205	15579
62	2233	15492
63	2280	15535
64	2312	15476
65	2348	15444
66	2395	15482
67	2431	15446
68	2465	15397
69	2519	15474
70	2555	15440
71	2592	15411
72	2634	15408
73	2672	15385
74	2704	15328
75	2738	15276
76	2771	15225
77	2803	15169
78	2835	15112
79	2865	15043
80	2894	14970
81	2910	14834
82	2943	14790
83	2981	14763
84	3007	14684
85	3032	14599
86	3064	14545
87	3095	14490
88	3121	14415
89	3158	14387
90	3210	14430
91	3249	14409
92	3286	14382
93	3319	14337
94	3351	14286
95	3387	14255
96	3426	14236
97	3459	14190
98	3497	14165
99	3533	14133
100	3560	14066
101	3591	14011
102	3617	13942
103	3650	13898
104	3681	13851
105	3710	13793
106	3737	13726
107	3762	13654
108	3788	13591
109	3816	13530
110	3844	13472
111	3872	13414
112	3898	13351
113	3925	13290
114	3953	13236
115	3990	13209
116	4019	13157
117	4050	13114
118	4075	13049
119	4099	12981
120	4122	12913
121	4149	12855
122	4178	12808
123	4208	12760
124	4234	12702
125	4259	12643
126	4283	12580
127	4310	12526
128	4339	12481
129	4366	12426
130	4390	12367
131	4425	12337
132	4459	12306
133	4499	12288
134	4534	12260
135	4571	12234
136	4606	12206
137	4638	12168
138	4676	12144
139	4708	12106
140	4740	12068
141	4768	12021
142	4792	11965
143	4821	11919
144	4849	11872
145	4878	11828
146	4905	11779
147	4934	11736
148	4957	11677
149	5000	11666
150	5032	11631
151	5068	11603
